#############################################;;;;;;;;;;;;;;x,,,,
#DoD Decisions;;;;;;;;;;;;;;x,,,,
#############################################;;;;;;;;;;;;;;x,,,,
dominate_arc_vin_title;Dominate Arcadia;;;;;;;;;;;;x,,,,
dominate_arc_vin_desc;We have control of all of our cores, we can now dominate the rest of Arcadia;;;;;;;;;;;;x,,,
dominate_arc_pla_title;Dominate Arcadia;;;;;;;;;;;;x,,,,
dominate_arc_pla_desc;We have control of all of our cores, we can now dominate the rest of Arcadia;;;;;;;;;;;;x,,,
dominate_arc_nbg_title;Dominate Arcadia;;;;;;;;;;;;x,,,,
dominate_arc_nbg_desc;We have control of all of our cores, we can now dominate the rest of Arcadia;;;;;;;;;;;;x,,,
form_arcadia_title;Form Arcadia;;;;;;;;;;;;x,,,,
form_arcadia_desc;We have control of all of Arcadia, we have reached the Arcadian Dream!;;;;;;;;;;;;x,,,
integrate_afro_arcadians_title;Integrate Afro Arcadians;;;;;;;;;;;;x,,,,
integrate_afro_arcadians_desc;We can now fully guarantee the rights of the Afro Arcadians;;;;;;;;;;;;x,,,,
manifest_destiny_arc_title;Manifest Destiny;;;;;;;;;;;;x,,,,
manifest_destiny_arc_desc;From sea to shining sea, we proclaim all shall be under the Arcadian banner!;;;;;;;;;;;;x,,,
form_ara_italy_title;Form Aragon-Italy;;;;;;;;;;;;x,,,,
form_ara_italy_desc;We have Italy under our control, we can create the kingdom of Aragon-Italy;;;;;;;;;;;;x,,,
integrate_venice_title;Integrate Venetian;;;;;;;;;;;;x,,,,
integrate_venice_desc;We have control of Venice, and can now bring them into our Empire;;;;;;;;;;;;x,,,
son_of_rome_title;A Son of Rome;;;;;;;;;;;;x,,,,
son_of_rome_desc;We hereby proclaim us as a son of Rome, and we will use this claim to connect our Iberian lands to Italy!;;;;;;;;;;;;x,,,
form_aryanam_title;Form Aryanam;;;;;;;;;;;;x,,,,
form_aryanam_desc;We can now form Aryanam and expand our claims all over the Middle East!;;;;;;;;;;;;x,,,,
form_ameriga_title;Form Ameriga;;;;;;;;;;;;x,,,,
form_ameriga_desc;We have control of all of Ameriga, we can form the Federation!;;;;;;;;;;;;x,,,
integrate_afro_amerigans_title;Integrate Afro Amerigans;;;;;;;;;;;;x,,,,
integrate_afro_amerigans_desc;We can now fully guarantee the rights of the Afro Amerigans;;;;;;;;;;;;x,,,,
conquest_of_jungle_title;Conquest of the Amazon;;;;;;;;;;;;x,,,,
conquest_of_jungle_desc;Now that we are the Federation, our claims extend into the Amazon!;;;;;;;;;;;;x,,,
integrate_beornia_title;Integrate Beornia;;;;;;;;;;;;x,,,,
integrate_beornia_desc;Beornia has been a thorn in our side, but no longer, we can now integrate the nation into our own.;;;;;;;;;;;;x,,
dominate_ameriga_title;Dominate Ameriga;;;;;;;;;;;;x,,,,
dominate_ameriga_desc;It is our destiny to unify all of Ameriga under the Federation, and we have set ourselves up to achieve this dream.;;;;;;;;;;;;x,,,
integrate_granada_title;Integrate Granada;;;;;;;;;;;;x,,,,
integrate_granada_desc;We have freed the Granadans from their oppression, we can now accept them into our Federation.;;;;;;;;;;;;x,,,
form_elbians_title;Form Elbian Confederation;;;;;;;;;;;;x,,,,
form_elbians_desc;Although our dreams of a unified Holy Roman Empire were crushed by the Great German War, we have consolidated our control over the princes of the Elbe. We can now form a confederation of the Elbian states and protect the german princes from Scandinavian and Burgundian oppression!;;;;;;;;;;;;x,,,
claim_prussia_title;Claim Prussia;;;;;;;;;;;;x,,,,
claim_prussia_desc;While not an offical part of the HRE, there are enough ethinic Germans to solidify our claim to the region.;;;;;;;;;;;;x,,,
integrate_rheinish_boh_title;Integrate Rhenish;;;;;;;;;;;;x,,,,
integrate_rheinish_boh_desc;We have freed the Rheinish from their oppression, we can now accept them into our nation.;;;;;;;;;;;;x,,,
integrate_rheinish_brg_title;Integrate Rhenish;;;;;;;;;;;;x,,,,
integrate_rheinish_brg_desc;The rhine has been under burgundian protection ever since the conquests of Charles the Bold. The rheinish burghers have always chafed under burgundian rule but with our new liberal monarchy and proper reforms they will soon consider themselves natural citizens of the burgundian state.;;;;;;;;;;;;x,,,,
integrate_south_africa_title;Integrate Boers;;;;;;;;;;;;x,,,,
integrate_south_africa_desc;The Boers of South Africa are essentially just Dutch, we should accept them into our nation.;;;;;;;;;;;;x,,,
integrate_afro_amerigan_clm_title;Integrate Former Slaves;;;;;;;;;;;;x,,,,
integrate_afro_amerigan_clm_desc;We have freed the previous slave from their oppression, we can now accept them into our nation.;;;;;;;;;;;;x,,,
integrate_caribbeans_title;Integrate Caribbeans;;;;;;;;;;;;x,,,,
integrate_caribbeans_desc;We have freed the Caribeans from their oppression, we can now accept them into our nation.;;;;;;;;;;;;x,,,
shining_liberty_clm_title;Becon for Immigrants;;;;;;;;;;;;x,,,,
shining_liberty_clm_desc;We are now in a position to fully embrace any immigrant into our nation, we should expect new policies to increase immigration.;;;;;;;;;;;;x,,,
congress_clm_title;Congress of Mexico City;;;;;;;;;;;;x,,,,
congress_clm_desc;The War for Liberation is now long behind us, We can now end the presidential dictatorship and reform our government. In doing so we can guarantee a consitution and rights for all citizens of Gran Colombia!;;;;;;;;;;;;x,,,
shining_liberty_dng_title;Becon for Immigrants;;;;;;;;;;;;x,,,,
shining_liberty_dng_desc;We are now in a position to fully embrace any immigrant into our nation, we should expect new policies to increase immigration.;;;;;;;;;;;;x,,,
english_path_title;English Path;;;;;;;;;;;;x,,,,
english_path_desc;\n\n§RWARNING: Mutually exclusive with other paths, enables future decisions to core and accept Scotland;;;;;;;;;;;;x,,,
french_path_title;French Path;;;;;;;;;;;;x,,,,
french_path_desc;\n\n§RWARNING: Mutually exclusive with other paths, enables future decisions to core parts of Burgundy and Provence.;;;;;;;;;;;;x,,,
dual_path_title;Dual Path;;;;;;;;;;;;x,,,,
dual_path_desc;\n\n§RWARNING: Mutually exclusive with other paths, strongest path with all coring and accepting decisions, along with accepting all cultures in 1870.;;;;;;;;;;;;x,,
anglois_dilemma_finished_title;Anglois Dilemma Finished;;;;;;;;;;;;x,,,,
anglois_dilemma_finished_desc;Years of the Anglois Dilemma have plagued the country, but no more. We can now fully integrate all cultures of the Dual Monarchy.;;;;;;;;;;;;x,,,
integrate_scotland_title;Integrate Scotland;;;;;;;;;;;;x,,,,
integrate_scotland_desc;The isles are rightfully ours, and Scotland and its people are no different.;;;;;;;;;;;;x,,,
reclaim_french_states_title;Reclaim Dejure France;;;;;;;;;;;;x,,,,
reclaim_french_states_desc;We successfully reclaimed what was once ours. France is whole yet again!;;;;;;;;;;;;x,,,,
shining_liberty_clm_desc;The Burgundian menance has been pushed back, and thus the dejure french lands are now ours once again.;;;;;;;;;;;;x,,,
core_provence_title;Core Provence;;;;;;;;;;;;x,,,,
core_provence_desc;We have crushed the pretenders in Provence, and can integrate the final part of Occitania.;;;;;;;;;;;;x,,,
form_arabia_title;Form Arabia;;;;;;;;;;;;x,,,,
form_arabia_desc;We shall now lead the Muslim world ourselves!;;;;;;;;;;;;x,,,,
form_danubia_title;Form the Danubian Federation;;;;;;;;;;;;x,,,,
form_danubia_desc;Through great diplomancy and war, we can now claim to be a Federation for all Germans.;;;;;;;;;;;;x,,,
shining_liberty_clm_title;Beacon for Immigrants;;;;;;;;;;;;x,,,,
begin_german_unification_desc;The time to push North is upon us! Down with the Bohemians, the false rulers of Germania!;;;;;;;;;;;;x,,,
unite_germany_title;Unite Germany;;;;;;;;;;;;x,,,,
unite_germany_desc;Through all odds, we have done it. Germany is united under a German leader. Hail Germania!;;;;;;;;;;;;x,,,
reclaim_croats_title;Reclaim Croatia;;;;;;;;;;;;x,,,,
reclaim_croats_desc;Once ours under a personal union, Croatia slipped from our grasp. Let us correct this mistake.;;;;;;;;;;;;x,,,
accept_croats_title;Accept Croatians;;;;;;;;;;;;x,,,,
accept_croats_desc;Now that Croatia is fully under our control, we can now integrate the Croatians into our nation.;;;;;;;;;;;;x,,,
accept_romanians_title;Accept Romanians;;;;;;;;;;;;x,,,,
accept_romanians_desc;With all of Romania under our control, we can now integrate the Romanians into our nation.;;;;;;;;;;;;x,,,
accept_serb_title;Accept Serbians;;;;;;;;;;;;x,,,,
accept_serb_desc;With all of Serbia under our control, we can now integrate the Serbians into our nation.;;;;;;;;;;;;x,,,
incan_dominance_title;Incan Dominance;;;;;;;;;;;;x,,,,
incan_dominance_desc;We have reclaimed our rightful land, we must push on further north to secure our position.\n\n§RThis will give a 30% assimilation bonus of Granadan pops;;;;;;;;;;;;x,,,
form_italy_title;Avanti Italia!;;;;;;;;;;;;x,,,,
"form_italy_desc;By establishing a dominant position on the Italian peninsula,",we can establish a proper homeland for our people by proclaiming ourselves the motive power for a unified Italian state.;;;;;;;;;;;;x,,,
coming_home_title;Its Coming Home;;;;;;;;;;;;x,,,,
coming_home_desc;We have returned home, it is time to embrace our old colors. (Exclusive with Protect Lotharingia);;;;;;;;;;;;x,,,
restablish_capital_title;Restablish Old Capital;;;;;;;;;;;;x,,,,
restablish_capital_desc;We can now move our capital back to our original home.;;;;;;;;;;;;x,,,,
infrastructure_improvements_title;Infrastructure Improvements;;;;;;;;;;;;x,,,,
infrastructure_improvements_desc;Now that we are fully home, we should look to reinvigorate the nation with infastructural improvements.;;;;;;;;;;;;x,,,
centralize_plc_title;Centralize the Commonwealth;;;;;;;;;;;;x,,,,
centralize_plc_desc;The time for vassal states is no more, we need full control over all of our core land.;;;;;;;;;;;;x,,,
integrate_ruthenians_title;Integrate Ruthenians;;;;;;;;;;;;x,,,,
integrate_ruthenians_desc;A large part of our population is Ruthenian, so we should look to integrate them fully into the nation.;;;;;;;;;;;;x,,,
baltic_protectors_title;Baltic Protectors;;;;;;;;;;;;x,,,,
baltic_protectors_desc;Lithuanians have been a central part of the Commonwealth for some time, we can use this to claim ourselves protectors of ALL baltic people.;;;;;;;;;;;;x,,,
form_russia_title;Form Russia;;;;;;;;;;;;x,,,,
form_russia_desc;The days of petty slavic squabbling are over, we have finally united all Russians under one banner.;;;;;;;;;;;;x,,,
push_west_title;Push West;;;;;;;;;;;;x,,,,
push_west_desc;Ruthenians are the brothers to Russians, they must be integrated into the nation.;;;;;;;;;;;;x,,,
reclaim_eastern_colonies_title;Reclaim Eastern Colonies;;;;;;;;;;;;x,,,,
reclaim_eastern_colonies_desc;Once upon a time, Russians controlled the borderlands. We must return our rule over these lands, and go even further if possible.;;;;;;;;;;;;x,,
accept_pomeranian_title;Accept Pomeranian;;;;;;;;;;;;x,,,,
accept_pomeranian_desc;The German coastline has been under our control and influence for some time now. The Pomeranian peoples have close ties to the Nordic people and should be treated as full citizens.;;;;;;;;;;;;x,,,,
prussian_coastline_title;Prussian Coastline;;;;;;;;;;;;x,,,,
prussian_coastline_desc;Now that the Pomeranians are proper citizens of our empire, we shall extend our claims into the coastline of Prussia.;;;;;;;;;;;;x,,,
nordtyskland_title;Nordtyskland;;;;;;;;;;;;x,,,,
nordtyskland_desc;The Bohemians have tried and failed to stop our Elbian ambition. We shall extend our claims to all of Elbia!\n\n§RThis will give a 50% assimilation bonus of Elbian pops WARNING: Mutually exclusive with the Claim Ireland decision.;;;;;;;;;;;;x,,,,
baltic_empire_title;A Baltic Empire;;;;;;;;;;;;x,,,,
